,year,MEIGHEN ICE CAP,MELVILLE SOUTH ICE CAP,WHITE,DEVON ICE CAP NW,AUSTRE BROEGGERBREEN,MIDTRE LOVENBREEN,KONGSVEGEN,WALDEMARBREEN,IRENEBREEN,HANSBREEN,LANGFJORDJOEKELEN,MARMAGLACIAEREN,RABOTS GLACIAER,STORGLACIAEREN,ENGABREEN,MITTIVAKKAT,HOFSJOEKULL N,HOFSJOEKULL E,HOFSJOEKULL SW,BRUARJOKULL,DYNGJUJOKULL,EYJABAKKAJOKULL,LANGJOKULL ICE CAP,TUNGNAARJOKULL,KOLDUKVISLARJ.,AUSTDALSBREEN,AALFOTBREEN,HANSEBREEN,NIGARDSBREEN,GRAASUBREEN,HELLSTUGUBREEN,STORBREEN,GULKANA,WOLVERINE,LEMON CREEK
0,1971,-420.0,-491.0,-183.0,-69.0,-580.0,-460.0,,,,,,,,-190.0,744.0,,,,,,,,,,,,831.0,,853.0,-470.0,-112.0,180.0,-480.0,310.0,-310.0
1,1972,30.0,-390.0,118.0,102.0,-310.0,-220.0,,,,,,,,-1050.0,-574.0,,,,,,,,,,,,41.0,,-226.0,-643.0,-479.0,-310.0,-810.0,-1070.0,-560.0
2,1973,30.0,-390.0,191.0,-95.0,-80.0,-20.0,,,,,,,,50.0,1932.0,,,,,,,,,,,,2005.0,,1061.0,-891.0,-212.0,80.0,0.0,450.0,-430.0
3,1974,-30.0,-258.0,-44.0,-77.0,-920.0,-890.0,,,,,,,,-340.0,453.0,,,,,,,,,,,,854.0,,208.0,343.0,285.0,240.0,-1910.0,-1250.0,-280.0
4,1975,80.0,-73.0,251.0,-69.0,-310.0,-210.0,,,,,,,,1170.0,994.0,,,,,,,,,,,,820.0,,20.0,-946.0,-334.0,-150.0,-810.0,-120.0,380.0
5,1976,80.0,-73.0,114.0,176.0,-450.0,-350.0,,,,,,,,270.0,1799.0,,,,,,,,,,,,1305.0,,436.0,-1002.0,-715.0,-90.0,-50.0,-790.0,-160.0
6,1977,-240.0,-73.0,-370.0,-99.0,-110.0,-40.0,,,,,,,,200.0,333.0,,,,,,,,,,,,-630.0,,-834.0,-389.0,-685.0,-540.0,320.0,1970.0,-390.0
7,1978,-90.0,-73.0,-131.0,27.0,-560.0,-480.0,,,,,,,,-80.0,-1260.0,,,,,,,,,,,,-617.0,,-238.0,-217.0,-482.0,-440.0,-80.0,820.0,-710.0
8,1979,-5.0,-73.0,-87.0,39.0,-710.0,-660.0,,,,,,,,-210.0,-195.0,,,,,,,,,,,,-152.0,,337.0,42.0,10.0,100.0,-280.0,-1350.0,-540.0
9,1980,-5.0,-73.0,,-57.0,-520.0,-430.0,,,,,,,,-1270.0,-928.0,,,,,,,,,,,,-726.0,,-1276.0,-888.0,-1197.0,-1310.0,620.0,2080.0,-180.0
10,1981,-170.0,-188.0,,-146.0,-550.0,-460.0,,,,,,,,-190.0,34.0,,,,,,,,,,,,235.0,,211.0,-188.0,-338.0,-100.0,-110.0,3560.0,-720.0
11,1982,160.0,-319.0,,-95.0,-40.0,20.0,,,,,,,-70.0,260.0,410.0,,,,,,,,,,,,-12.0,,-419.0,-513.0,-367.0,-470.0,-510.0,-420.0,-340.0
12,1983,-250.0,-74.0,-76.0,105.0,-270.0,-170.0,,,,,,,-110.0,280.0,451.0,,,,,,,,,,,,1380.0,,911.0,-53.0,156.0,200.0,380.0,-560.0,-1530.0
13,1984,230.0,38.0,-44.0,-31.0,-730.0,-680.0,,,,,,,-530.0,120.0,795.0,,,,,,,,,,,,1376.0,,191.0,-370.0,-522.0,-300.0,-490.0,-460.0,-160.0
14,1985,-30.0,-110.0,1.0,-108.0,-550.0,-480.0,,,,,,,-1280.0,-720.0,-1620.0,,,,,,,,,,,,-497.0,,-791.0,1.0,-306.0,-400.0,-270.0,170.0,420.0
15,1986,250.0,208.0,-243.0,184.0,-320.0,-210.0,,,,,,,-188.0,-60.0,-218.0,,,,,,,,,30.0,,,-611.0,-700.0,-616.0,-764.0,-507.0,-320.0,30.0,-510.0,-420.0
16,1987,-180.0,16.0,-594.0,44.0,220.0,240.0,535.0,,,,,,223.0,480.0,439.0,,,,,,,,,,,,2073.0,881.0,910.0,711.0,441.0,320.0,-630.0,1310.0,-750.0
17,1988,-290.0,-629.0,140.0,-216.0,-520.0,-490.0,-52.0,,,,,,-1052.0,-840.0,-1737.0,,-740.0,,,,,,,,,-1429.0,-2496.0,-2751.0,-1297.0,-603.0,-1046.0,-950.0,50.0,930.0,200.0
18,1989,290.0,-342.0,40.0,-69.0,-450.0,-240.0,-150.0,,,-90.0,-599.0,,618.0,1240.0,2140.0,,580.0,1000.0,,,,,,,,1585.0,2343.0,960.0,2422.0,451.0,787.0,1200.0,-430.0,-1720.0,-1150.0
19,1990,-210.0,-262.0,-431.0,-166.0,-660.0,-510.0,-305.0,,,-550.0,-378.0,-120.0,-40.0,590.0,284.0,,-600.0,0.0,-680.0,,,,,,,938.0,1762.0,490.0,1121.0,714.0,724.0,1254.0,-670.0,-2490.0,-1020.0
20,1991,-220.0,199.0,-160.0,-230.0,130.0,100.0,430.0,,,130.0,-40.0,-200.0,-216.0,170.0,296.0,,-1410.0,-960.0,-1490.0,,,-900.0,,,,3.0,567.0,479.0,-243.0,-532.0,-418.0,-73.0,-420.0,-550.0,-290.0
21,1992,10.0,-320.0,-274.0,96.0,-100.0,-140.0,320.0,,,-270.0,217.0,90.0,110.0,880.0,1342.0,,1060.0,1500.0,1190.0,,1650.0,40.0,,240.0,980.0,535.0,2391.0,1247.0,1132.0,-78.0,185.0,130.0,-710.0,-330.0,-570.0
22,1993,-590.0,-752.0,-423.0,-62.0,-1030.0,-880.0,-380.0,,,-670.0,147.0,270.0,510.0,1000.0,693.0,,910.0,740.0,130.0,1090.0,1270.0,740.0,,130.0,,825.0,1870.0,1485.0,1123.0,416.0,341.0,808.0,-1510.0,-840.0,-890.0
23,1994,-200.0,-110.0,-276.0,-32.0,-160.0,-120.0,500.0,,,150.0,,-340.0,-100.0,-370.0,-40.0,,80.0,-160.0,-740.0,550.0,190.0,460.0,,-140.0,,-72.0,804.0,936.0,152.0,10.0,123.0,-209.0,-390.0,-530.0,-670.0
24,1995,60.0,-470.0,-347.0,-147.0,-780.0,-790.0,-350.0,-322.0,,-400.0,,100.0,80.0,700.0,1216.0,,-680.0,-620.0,-1170.0,-342.0,20.0,-420.0,,-990.0,-590.0,618.0,1233.0,1090.0,817.0,-110.0,-64.0,-102.0,-1010.0,-650.0,-1220.0
25,1996,190.0,-210.0,50.0,-80.0,-170.0,20.0,384.0,22.0,,-2020.0,-12.0,-380.0,-470.0,-390.0,300.0,10.0,-780.0,-1350.0,-1230.0,-220.0,-390.0,-850.0,,,-630.0,-1089.0,-1943.0,-1236.0,-741.0,-452.0,-677.0,-969.0,-460.0,-1750.0,-1490.0
26,1997,-60.0,10.0,-38.0,-13.0,-710.0,-430.0,102.0,-390.0,,-150.0,-663.0,-200.0,-270.0,-630.0,509.0,-400.0,-1050.0,-1150.0,-1420.0,-135.0,-1060.0,,-1300.0,-1880.0,-117.0,-550.0,-164.0,358.0,-530.0,-1684.0,-1586.0,-964.0,-1920.0,-2050.0,-1720.0
27,1998,-100.0,-780.0,-201.0,-276.0,-860.0,-590.0,-695.0,-798.0,,-600.0,-1469.0,-280.0,-470.0,-520.0,-372.0,-1170.0,-680.0,-1060.0,-1590.0,-670.0,-490.0,-1390.0,-1700.0,-1480.0,-980.0,153.0,-481.0,-711.0,458.0,114.0,31.0,220.0,-450.0,720.0,-920.0
28,1999,-350.0,-520.0,-470.0,-217.0,-360.0,-270.0,-150.0,-684.0,,-360.0,-1684.0,-300.0,-390.0,-180.0,-605.0,-770.0,-250.0,-770.0,-1090.0,-300.0,,-1120.0,-770.0,-1020.0,-540.0,-462.0,-373.0,-145.0,-180.0,-395.0,-364.0,-237.0,-1410.0,-960.0,-410.0
29,2000,-490.0,-740.0,-405.0,-320.0,-22.0,-28.0,331.0,-319.0,,-480.0,-521.0,130.0,-240.0,580.0,610.0,-830.0,-1340.0,-970.0,-1750.0,-1010.0,,-2020.0,-750.0,-1280.0,-730.0,1090.0,1135.0,549.0,1271.0,-52.0,194.0,548.0,50.0,520.0,-290.0
30,2001,10.0,-260.0,-151.0,-559.0,-476.0,-331.0,-491.0,-767.0,,-1100.0,-2183.0,-410.0,-760.0,-700.0,-1589.0,-960.0,-580.0,-1560.0,-1890.0,140.0,,286.0,-1271.0,-1629.0,-818.0,-1520.0,-2523.0,-3041.0,-398.0,23.0,-361.0,-279.0,-950.0,350.0,-350.0
31,2002,80.0,16.0,32.0,-21.0,-565.0,-529.0,-213.0,-514.0,-613.0,-600.0,-1311.0,-660.0,-879.0,-830.0,-1025.0,-500.0,-1000.0,-740.0,-640.0,52.0,,-1093.0,-1656.0,-1276.0,-227.0,-1986.0,-2072.0,-2136.0,-1225.0,-1414.0,-1409.0,-1786.0,-530.0,-530.0,-740.0
32,2003,-530.0,20.0,-106.0,-139.0,-899.0,-783.0,-336.0,-727.0,-630.0,-560.0,-946.0,-1420.0,-1440.0,-1040.0,-1092.0,340.0,-980.0,-1310.0,-1170.0,-568.0,,-1094.0,-1946.0,-1220.0,-1075.0,-2450.0,-3028.0,-2902.0,-1520.0,-1391.0,-1433.0,-1723.0,580.0,-170.0,-2020.0
33,2004,280.0,290.0,37.0,46.0,-1142.0,-975.0,-740.0,-641.0,-605.0,-570.0,-1688.0,-580.0,,-120.0,183.0,-1070.0,-1360.0,-1620.0,-1500.0,-800.0,,-1310.0,-1487.0,-1699.0,-776.0,-948.0,-484.0,-927.0,-398.0,-493.0,-814.0,-744.0,-2410.0,-2430.0,-1620.0
34,2005,-380.0,-190.0,-612.0,-262.0,-981.0,-739.0,-457.0,-722.0,-862.0,0.0,-1020.0,-790.0,-1170.0,-70.0,483.0,-1820.0,-430.0,-20.0,-580.0,-1557.0,-1327.0,-2202.0,-894.0,-1757.0,-627.0,77.0,319.0,-382.0,888.0,-492.0,-259.0,-233.0,-490.0,-1740.0,-1530.0
35,2006,-8.0,-360.0,-93.0,-242.0,-725.0,-486.0,18.0,-747.0,-822.0,90.0,-2197.0,-1650.0,-1630.0,-1720.0,-1838.0,-580.0,-510.0,-490.0,-610.0,-790.0,-353.0,-1425.0,-1080.0,-1569.0,-402.0,-2029.0,-3649.0,-4372.0,-1727.0,-2082.0,-1988.0,-2271.0,480.0,-860.0,-650.0
36,2007,-518.0,-1182.0,-818.0,-294.0,-457.0,-251.0,-90.0,-771.0,-695.0,0.0,-640.0,-530.0,,410.0,676.0,-1580.0,-390.0,-870.0,-860.0,-536.0,95.0,-636.0,-1412.0,-997.0,-342.0,195.0,864.0,609.0,660.0,-722.0,-646.0,-509.0,-170.0,-620.0,-300.0
37,2008,-705.0,-905.0,-807.0,-577.0,-127.0,-9.0,418.0,-322.0,-357.0,149.0,-429.0,120.0,350.0,580.0,-138.0,-520.0,-570.0,-790.0,-930.0,-503.0,-24.0,-1282.0,-1842.0,-1340.0,-587.0,-101.0,331.0,167.0,781.0,80.0,-27.0,-102.0,1360.0,1230.0,540.0
38,2009,-676.0,-351.0,-586.0,-523.0,-250.0,-140.0,-78.0,-649.0,-630.0,-843.0,-1312.0,-1390.0,-500.0,-530.0,-68.0,-1010.0,-350.0,-170.0,-350.0,-122.0,227.0,-507.0,-362.0,-809.0,-134.0,-742.0,-584.0,-1203.0,-60.0,-277.0,-234.0,-223.0,-560.0,-1640.0,-1030.0
39,2010,-387.0,-939.0,-194.0,-417.0,-440.0,-200.0,130.0,-577.0,-497.0,-14.0,-748.0,-500.0,-1080.0,-690.0,-749.0,-2160.0,-2400.0,-2830.0,-3490.0,-1570.0,-1540.0,-1750.0,-3800.0,-3510.0,-2870.0,-2025.0,-2299.0,-2504.0,-1100.0,-1103.0,-1339.0,-1765.0,-1630.0,320.0,-1120.0
40,2011,-1310.0,-1339.0,-987.0,-683.0,-1004.0,-920.0,-434.0,-1239.0,-1293.0,-280.0,-1256.0,-1450.0,-2110.0,-1060.0,-972.0,-2450.0,-320.0,-330.0,-280.0,515.0,377.0,525.0,-1279.0,-1380.0,-754.0,-1436.0,-845.0,-1252.0,-1133.0,-1287.0,-2041.0,-1584.0,-1630.0,-1150.0,-960.0
41,2012,-1117.0,-1556.0,-951.0,-503.0,-175.0,-260.0,208.0,-885.0,-851.0,-151.0,-760.0,-90.0,20.0,680.0,1072.0,-1630.0,-460.0,-410.0,40.0,-759.0,-975.0,-954.0,-542.0,-1294.0,-289.0,768.0,1361.0,822.0,983.0,-109.0,-18.0,58.0,-380.0,1320.0,590.0
42,2013,160.0,-172.0,45.0,24.0,-1050.0,-940.0,-690.0,-1637.0,-1881.0,143.0,-2614.0,,,-1410.0,-1854.0,-700.0,-360.0,-440.0,60.0,-70.0,-230.0,-500.0,-851.0,-810.0,-560.0,-1631.0,-904.0,-1687.0,-654.0,-808.0,-779.0,-1160.0,-1200.0,-1790.0,-1640.0
43,2014,57.0,-159.0,-417.0,-246.0,10.0,30.0,140.0,-576.0,-687.0,-277.0,-780.0,-1370.0,,-890.0,-890.0,-1200.0,-950.0,-990.0,-990.0,-34.0,171.0,-353.0,-1950.0,-1535.0,-877.0,-1355.0,-1653.0,-2114.0,-343.0,-1169.0,-1220.0,-1166.0,-60.0,-1770.0,-1650.0
44,2015,-892.0,-1148.0,-693.0,-395.0,-610.0,-450.0,-160.0,-1439.0,-1335.0,-436.0,-797.0,20.0,-43.0,640.0,653.0,200.0,430.0,850.0,1380.0,1044.0,1469.0,734.0,413.0,196.0,1074.0,722.0,-636.0,1006.0,1712.0,293.0,475.0,487.0,-1320.0,-850.0,-1910.0
45,2016,-791.0,-792.0,-268.0,-483.0,-1450.0,-1200.0,-320.0,-1773.0,-1468.0,-1078.0,-1664.0,-370.0,-650.0,-240.0,-226.0,-1766.0,-1130.0,-1330.0,-440.0,-342.0,-236.0,-930.0,-1677.0,-1415.0,-642.0,-1050.0,-635.0,-1304.0,486.0,-415.0,-339.0,-804.0,-1300.0,-150.0,-1860.0
46,2017,126.0,38.0,116.0,-153.0,-790.0,-640.0,40.0,-1425.0,-1420.0,-697.0,-267.0,260.0,-170.0,470.0,1249.0,-1150.0,-610.0,-650.0,340.0,26.0,230.0,-452.0,-959.0,-449.0,-41.0,191.0,-750.0,-1179.0,587.0,-708.0,-591.0,-517.0,-1800.0,-1080.0,-1620.0
47,2018,199.0,221.0,8.0,46.0,-880.0,-770.0,-210.0,-1743.0,-1498.0,-631.0,-2129.0,-1370.0,-1590.0,-1600.0,-1629.0,-360.0,240.0,340.0,850.0,62.0,76.0,-390.0,-39.0,-320.0,323.0,-1531.0,-2036.0,-2651.0,-852.0,-1819.0,-1630.0,-1969.0,-380.0,-1860.0,-2520.0
48,2019,-1025.0,-416.0,-799.0,-484.0,-710.0,-600.0,-470.0,-1061.0,-1186.0,-483.0,-383.0,-910.0,-650.0,-310.0,788.0,-1640.0,-1320.0,-1570.0,-920.0,-304.0,-379.0,-728.0,-2230.0,-1914.0,-1507.0,-1209.0,-2439.0,-3014.0,-266.0,-1690.0,-1873.0,-1519.0,-1460.0,-1530.0,-3160.0
49,2020,-723.0,-807.0,-552.0,-647.0,-1744.0,-1574.0,-1081.0,-2276.0,-2204.0,,-19.0,,-310.0,-140.0,1170.0,,-390.0,-680.0,-80.0,-175.0,216.0,-778.0,-564.0,-774.0,-151.0,801.0,1002.0,486.0,1651.0,-643.0,-436.0,-46.0,-190.0,-1810.0,-950.0
50,2021,-131.0,122.0,-107.0,-5.0,-603.0,-379.0,40.0,-947.0,-705.0,,-195.0,,-500.0,-823.0,-500.0,,-1410.0,-800.0,-480.0,-840.0,-710.0,-1477.0,-1790.0,-1611.0,-1322.0,-1775.0,-1707.0,-2335.0,-481.0,-1541.0,-1260.0,-1672.0,-780.0,-870.0,-480.0
51,2022,-762.0,-1075.0,,-576.0,-1393.0,-1239.0,-968.0,,,,-1900.0,,-943.0,-212.0,150.0,,280.0,-190.0,460.0,344.0,422.0,-359.0,-50.0,-1355.0,386.0,-50.0,-550.0,-1050.0,800.0,,,,-1160.0,-1180.0,
